"Formatted ID","Name","Display Color","Target Date","Total Artifact Count","Total Project Count","Active","Artifacts","Closed Project Count","Creation Date","Custom Field 1","Custom Field 2","Custom Field 3","Custom Field 4","Custom Field 5","Description","Last Update Date","Notes","Type"
"MI41530","GCIP-CRR#10: Data Requirement received for Portfolios","#848689","07/18/2026 12:00 AM MST","0","6","False","0","0","08/03/2025 01:51 PM MST","","","","","","Users would be able to run CRR","11/12/2025 09:14 AM MST","",""
"MI41524","GCIP-CRR#11: Data Discovery of portfolios","#848689","10/27/2026 12:00 AM MST","0","6","False","0","0","08/03/2025 01:49 PM MST","","","","","","Data for Products should be available in DAM E1/E2 - - CCA, BCA, Corporate Entities, SBS Entities, Prepaid, Intermediaries etc.","11/12/2025 09:14 AM MST","",""
"MI41522","GCIP-CRR#12: Build of Portfolios (Build + Unit Testing + SIT)","#848689","10/27/2026 12:00 AM MST","7","6","False","7","0","08/03/2025 01:48 PM MST","","","","","","Data for Products should be available in DAM E3 - Consumer & SBS, Corporate Individuals, PSA, SERV, WCT, Kabbage, Merchants","11/12/2025 09:14 AM MST","",""
"MI41528","GCIP-CRR#13:","#848689","","0","3","False","0","0","08/03/2025 01:51 PM MST","","","","","","","08/03/2025 01:51 PM MST","",""
"MI41519","GCIP-CRR#13: Data Provisioning UAT (E2)","#848689","02/10/2026 12:00 AM MST","3","6","False","3","0","08/03/2025 01:47 PM MST","","","","","","Data for Products should be available in DAM E1/E2 - PSA, SERV, WCT, Kabbage","11/27/2025 05:13 AM MST","",""
"MI41520","GCIP-CRR#14: Data Consumption UAT (E2)","#848689","02/18/2026 12:00 AM MST","2","6","False","2","0","08/03/2025 01:47 PM MST","","","","","","User would be able to calculate CRR account, customer, hierrrachy score by running the rules ","11/12/2025 09:14 AM MST","",""
"MI41525","GCIP-CRR#15: Data Pro visioning FT (Pre-Prod)","#848689","03/03/2026 12:00 AM MST","0","6","False","0","0","08/03/2025 01:49 PM MST","","","","","","User should be able to view a Detailed history log of changes merged into CRR","11/12/2025 09:14 AM MST","",""
"MI41517","GCIP-CRR#16: Data Consumption FT (Pre-Prod)","#848689","03/11/2026 12:00 AM MST","2","6","False","3","0","08/03/2025 01:43 PM MST","","","","","","Data for Products should be available in DAM E1/E2 - Consumer & SBS, Corporate Individuals, Merchants","11/12/2025 09:14 AM MST","",""
"MI41516","GCIP-CRR#1: Foundational Architecture","#848689","03/30/2026 12:00 AM MST","6","6","False","6","0","08/03/2025 01:41 PM MST","","","","","","Infra Procurement E1/ E2/E3 ","11/21/2025 04:41 AM MST","",""
"MI41518","GCIP-CRR#2: Rule Configuration","#848689","01/19/2026 12:00 AM MST","57","5","False","57","0","08/03/2025 01:44 PM MST","","","","","","User would be able to view/ modify the CRR rules/ assessments via UI","11/21/2025 04:42 AM MST","",""
"MI41527","GCIP-CRR#3: Rule Scoring Individuals","#848689","05/25/2026 12:00 AM MST","9","6","False","9","0","08/03/2025 01:50 PM MST","","","","","","User would be able to calculate CRR account, customer, hierarchy score by running the rules","11/18/2025 01:23 AM MST","",""
"MI41529","GCIP-CRR#4: Rule Scoring Entities","#848689","05/25/2026 12:00 AM MST","1","6","False","1","0","08/03/2025 01:51 PM MST","","","","","","User would be able to fetch analytical reports related to CRR","11/12/2025 09:14 AM MST","",""
"MI41521","GCIP-CRR#5: Asset Manager","#848689","01/19/2026 12:00 AM MST","4","6","False","4","0","08/03/2025 01:48 PM MST","","","","","","User would be able to configure lists which can be used for rules setup in an efficient manner","11/17/2025 07:53 AM MST","",""
"MI41526","GCIP-CRR#6: Fundamental Assessment","#848689","01/19/2026 12:00 AM MST","2","6","False","2","0","08/03/2025 01:50 PM MST","","","","","","User would be able to calculate FA score and use it in CRR for accurate risk scoring","11/12/2025 09:14 AM MST","",""
"MI41523","GCIP-CRR#7: Access Management","#848689","03/02/2026 12:00 AM MST","2","6","False","2","0","08/03/2025 01:49 PM MST","","","","","","Data for Products should be available in DAM E1/E2 - CCA, BCA, Corporate Entities, SBS Entities, Prepaid, Intermediaries etc.","11/25/2025 07:21 AM MST","",""
"MI41531","GCIP-CRR#8: Dashboard & Reporting","#848689","03/30/2026 12:00 AM MST","2","6","False","2","0","08/03/2025 01:52 PM MST","","","","","","user would be able to view / export the CRR dashboards in the UI","11/12/2025 09:14 AM MST","",""
"MI41532","GCIP-CRR#9: PoD to PoA - CRR Attributes Migration","#848689","05/11/2026 12:00 AM MST","3","6","False","3","0","08/03/2025 01:52 PM MST","","","","","","User would be able to calculate Score accounting for HROs/PEP SIP/Add Char scoring ","11/12/2025 09:14 AM MST","",""
